,spotify_id,daily_rank,popularity,is_explicit,duration_ms,album_name,album_release_date,time_signature,rank,artists_num,artist_individual,artist_id,artist_genre,album_num_tracks,weeks_on_chart,duration,region,language,track_name,artist_names,country,loudness,tempo,artist_count_df1,bpm_df1,artist_count_df2,streams,bpm_df2,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,has_lyrics,lyrics_url,scraped,primary_artist,feat_artist,lyric_url,is_english,is_english_lyrics,overall_sentiments,overall_emotions,topics,overall_topics
0,71BqAINEnezjQfxE4VuJfq,41.0,91.0,0.0,180381.0,1989 (Taylor's Version),2023-10-26,4.0,,,,,,,,,,,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,SG,-13.178,77.983,,,,,,7,1,0.629,0.306,0.413,0.345,7.62e-05,0.0603,0.055,,False,,False,,,,1,1,,,,
1,5fp7tsbfsLW8ueAqrvcXOM,41.0,12.0,1.0,183003.0,BENIHANA,2024-03-15,4.0,,,,,,,,,,,"""conspiracy""","Shimmi, AstralKid22, Tisci, guapanova",SK,-8.241,149.93,,,,,,10,0,0.842,0.314,0.402,0.1,0.0,0.106,0.247,,False,,False,,,,1,1,,,,
2,1DNXCTUHCGcr9kJ6LynYEC,47.0,50.0,0.0,250595.0,a beautiful blur,2023-09-29,3.0,,,,,,,,,,,'Cause You Have To,LANY,PH,-8.145,161.097,,,,,,11,1,0.451,0.403,0.498,0.562,0.000441,0.124,0.0338,"September 29, 2023",True,,True,LANY,,https://genius.com/Lany-cause-you-have-to-lyrics,1,1,negative sentiment,emotion is sadness,"['song about loss and grief', 'song about love', 'song about loss and grief', 'song about loss and grief', 'song about love', 'song about loss and grief', 'song about loss and grief', 'song about loss and grief']",song about loss and grief
3,4k3lPl8YTKuY8c1HelVnm3,,,,,,,,68.0,1.0,Cody Johnson,spotify:artist:6zLBxLdl60ekBLpawtT63I,texas country,18.0,20.0,224213.0,North America,English,'Til You Can't,Cody Johnson,United States,-4.865,160.087,,,,2247028.0,,1,1,0.501,0.46,0.815,0.0513,0.0,0.106,0.0436,"June 11, 2021",True,,True,Cody Johnson,,https://genius.com/Cody-johnson-til-you-cant-lyrics,1,1,negative sentiment,emotion is optimism,"['song about personal growth', 'song about love', 'song about ambition and success', 'song about loss and grief', 'song about ambition and success', 'song about personal growth', 'song about love', 'song about personal growth']",song about personal growth
4,2qWvKCmXuL7LJyEhm8lRH3,13.0,32.0,0.0,145000.0,(Can't) Get You out of My Mind,2019-09-03,4.0,,,,,,,,,,,(Can't) Get You out of My Mind,Ryan Bay,LU,-9.825,120.052,,,,,,0,0,0.708,0.177,0.569,0.238,0.597,0.0697,0.0335,,False,,False,,,,1,1,,,,
5,5QTxFnGygVM4jFQiBovmRo,46.0,80.0,0.0,308120.0,Agents Of Fortune,1976-01-01,4.0,193.0,1.0,Blue Ã–yster Cult,spotify:artist:00tVTdpEhQQw1bqdu8RCx2,rock,10.0,3.0,308120.0,North America,English,(Don't Fear) The Reaper,Blue Ã–yster Cult,CA,-8.55,141.466,,,,212241.0,,9,0,0.333,0.385,0.927,0.0029,0.000208,0.297,0.0733,,False,,False,,,,1,1,,,,
6,2n1xrggQtAGEV1AgzvooGB,,,,,,,,132.0,1.0,Kay Starr,spotify:artist:7rpf45DdbpweG51Acze45i,swing,14.0,5.0,162373.0,North America,English,(Everybody's Waitin' For) The Man With The Bag - Remastered 1996,Kay Starr,Canada,-8.668,71.165,,,,313150.0,,0,1,0.739,0.805999999999999,0.317,0.391,0.00487,0.243,0.0905,,False,,False,,,,1,1,,,,
7,3zBhihYUHBmGd2bcQIobrF,45.0,83.0,0.0,163755.0,The Dock of the Bay (Mono),1968-01-01,4.0,,,,,,,,,,,(Sittin' On) the Dock of the Bay,Otis Redding,NZ,-11.226,103.621,,,,,,2,1,0.768,0.532,0.367,0.683,1.79e-05,0.081,0.0315,,False,,False,,,,1,1,,,,
8,0hvN2v6fAcB6xWyW7UaooA,45.0,70.0,0.0,175893.0,Season's Greetings,1991-08-26,4.0,73.0,1.0,Perry Como,spotify:artist:5v8jlSmAQfrkTjAlpUfWtu,vocal jazz,10.0,4.0,175893.0,North America,English,(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,US,-12.556,143.736,,,,2967293.0,,5,1,0.478,0.474,0.341,0.897,0.0,0.258,0.0511,,False,,False,,,,1,1,,,,
9,30QR0ndUdiiMQMA9g1PGCm,,,,,,,,37.0,1.0,$uicideboy$,spotify:artist:1VPmR4DJC1PlOtd0IADAO0,new orleans rap,12.0,28.0,168490.0,North America,English,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,United States,-6.876,113.983,,,,2974818.0,,2,1,0.792,0.111,0.511,0.124,9.04e-05,0.14,0.0409,"February 14, 2020",True,,True,$uicideboy$,,https://genius.com/Uicideboy-and-to-those-i-love-thanks-for-sticking-around-lyrics,1,1,negative sentiment,emotion is sadness,"['song about loss and grief', 'song about loss and grief']",song about loss and grief
